435,250,180,114,201,235,162,210
253,248,180,113,203,235,161,210
253,247,178,113,199,233,163,212
253,247,179,113,198,234,162,212
254,247,178,114,199,234,161,213
253,248,179,114,201,233,160,209
253,248,179,113,202,233,159,209
254,248,180,114,205,235,159,209
254,248,176,113,206,236,160,211
254,246,177,114,205,235,159,211
239,247,132,106,179,245,164,250
286,258,95,100,253,234,275,296
258,257,125,105,217,236,176,262
285,217,116,103,256,259,256,294
295,219,110,104,253,260,253,292
306,239,106,103,216,241,220,273
286,224,96,103,255,264,254,294
284,237,97,102,252,261,256,292
309,232,122,102,228,241,223,279
308,229,116,100,221,242,227,275
305,249,99,99,258,261,256,301
271,253,126,104,217,241,203,278
263,258,100,100,267,258,275,298
203,282,156,111,235,271,164,242
258,267,122,103,219,290,219,271
244,259,122,103,229,288,230,274
248,259,125,104,230,287,226,272
251,253,128,105,231,288,225,273
252,251,146,105,236,285,224,272
279,239,138,112,267,278,194,263
260,243,106,97,181,263,241,280
283,226,129,107,259,272,210,269
264,240,111,102,231,266,232,277
259,243,102,97,190,263,244,280
287,207,119,107,263,254,194,262
285,207,120,105,260,254,206,268
283,208,121,105,254,254,212,268
284,209,120,105,252,254,215,268
253,216,85,96,146,254,251,278
255,217,89,95,161,257,248,281
277,248,112,101,238,263,198,277
282,211,126,107,258,257,204,272
252,248,139,106,214,249,155,248
253,256,154,105,179,256,146,232
266,223,105,102,167,210,199,270
252,206,86,92,132,214,225,275
275,239,126,97,115,172,137,244
271,282,114,92,91,105,178,251
278,241,148,135,266,266,226,282
273,254,177,123,143,242,217,265
260,239,172,135,201,272,227,279
279,228,123,100,139,240,197,275
252,273,179,108,157,251,174,243
241,258,179,122,264,230,153,264
128,160,133,136,298,236,254,291
159,232,178,109,246,248,208,277
210,244,195,111,226,229,215,269
262,212,98,100,299,253,259,295
269,214,110,99,193,237,227,281
260,227,103,105,283,254,254,294
260,226,102,102,260,258,253,294
262,224,106,103,261,258,253,292
270,211,149,117,344,272,224,283
269,210,149,119,333,270,226,285
247,220,94,99,211,257,257,292
256,221,99,99,228,259,256,291
265,207,116,100,193,234,223,285
245,222,86,97,165,231,253,288
238,253,81,98,168,209,134,282
269,129,73,91,153,247,268,288
245,241,114,101,180,247,174,265
221,222,175,112,159,232,191,258
243,241,180,109,178,236,172,256
265,248,155,111,232,252,156,256
295,237,77,96,199,242,290,286
293,185,76,96,222,249,296,291
295,176,75,96,236,249,300,294
298,191,75,97,212,243,297,289
293,191,79,94,292,272,312,304
307,96,78,96,319,280,342,339
288,94,78,98,326,282,327,336
305,101,81,100,332,277,315,328
290,189,84,97,309,266,290,307
279,161,77,95,276,264,288,297
277,95,76,87,230,262,300,300
259,97,79,92,277,273,346,342
307,93,77,96,325,276,320,332
233,229,99,102,194,244,228,291
231,235,154,111,176,238,224,277
239,233,155,111,187,242,233,277
244,235,154,112,205,244,232,276
243,236,154,113,205,245,233,277
243,236,154,113,204,245,234,275
243,237,155,114,203,244,234,276
244,238,155,113,204,246,233,276
239,236,155,112,197,244,231,276
238,232,157,113,185,240,235,278
239,235,158,112,187,241,233,276
237,234,158,114,185,239,233,275
237,235,159,112,187,240,233,276
239,236,158,112,188,239,233,276
238,236,159,112,187,240,232,275
239,236,158,112,188,240,233,275
239,236,160,112,188,240,232,276
239,236,160,112,188,240,234,275
239,236,159,113,187,239,234,275
240,236,160,114,188,240,232,274
240,236,161,112,189,240,231,275
240,236,162,112,189,241,232,274
256,123,77,88,217,253,288,295
153,254,124,107,263,247,183,256
252,252,152,109,164,230,181,250
257,263,160,109,162,225,189,252
257,275,160,111,163,226,189,253
253,276,165,110,158,228,191,254
255,275,165,111,155,223,194,256
255,274,163,111,155,224,194,255
256,268,165,111,156,225,193,255
256,264,165,112,156,224,192,255
256,263,166,111,156,225,191,254
255,262,166,112,158,225,191,254
255,263,156,111,155,226,196,256
255,261,142,109,160,230,197,256
254,262,146,110,155,228,198,257
253,262,143,111,157,226,196,258
255,261,148,110,158,224,198,258
256,262,151,111,156,223,197,257
255,260,152,111,156,221,197,257
255,262,154,111,156,220,197,256
