emg0,emg1,emg2,emg3,emg4,emg5,emg6,emg7,Thumb_Proximal,Thumb_Intermediate,Thumb_Distal,Index_Proximal,Index_Intermediate,Index_Distal,Middle_Proximal,Middle_Intermediate,Middle_Distal,Ring_Proximal,Ring_Intermediate,Ring_Distal,Pinky_Proximal,Pinky_Intermediate,Pinky_Distal
399,218,126,243,118,72,96,328,nan,7.7825988192976681,2.6187027626869659,35.830007400352294,26.423420459730583,16.884426968524352,4.7076059125597212,12.871261074629398,10.494649673019977,10.184295229603096,11.139387636581979,9.4089457838058443,16.861608144334827,9.7856582243248678,8.4341714340381895
473,219,118,261,120,70,88,325,nan,8.1970445025711793,1.635596992176394,27.065236134291005,17.271877560973003,11.682299432326568,6.8929731997791457,11.880385588161918,9.7968707139291009,9.804782249641681,11.200238089494325,9.4498062041823534,15.136780447135102,9.6239330557436187,8.2548702202162794
426,203,105,257,112,80,79,289,nan,8.4023346003907555,0.64949128836659498,20.1897354138064,12.811080426570014,9.0693807626355465,6.9056210770803119,11.854794847032029,9.7754544528982059,8.782239256129003,11.614056105294196,9.7468720310376415,14.866978041638905,10.437550872355617,8.8691798379387645
399,182,101,265,137,89,80,297,nan,8.5394167439918167,1.0037048591754292,13.904339734415693,11.472094330732833,8.4714636854852046,6.996694008617383,11.806949870465475,9.7399869318804821,8.3150436510903614,11.569669594726927,9.6862394366038256,15.353055836769807,11.215447258550737,9.4656015540001004
390,157,87,265,137,86,77,279,nan,8.6670084385090895,1.2408584328742929,8.4919490633275583,10.749398934483763,8.2729800751172,7.4348601596113477,11.531742247226919,9.5334691472437303,8.2620836482693019,11.401868574110873,9.5435222845658778,16.191752821369882,11.638617782560187,9.7517176482719545
371,161,68,141,106,73,71,230,nan,8.7162603036301949,1.424420316473461,6.534962541886709,10.158810878791032,8.0216333967357336,8.4077984608217218,10.830582601227196,9.0000446131958505,8.2344483914339541,11.297357484571714,9.4541844310769729,16.962011310156484,11.780099444687915,9.8152784919841203
287,181,65,132,148,89,78,233,nan,8.7432622686960819,1.3903146706429141,7.4483321364581938,8.9117693871717485,7.2602440370466734,10.316863554445794,9.5562067785892033,8.026107201307175,8.6963656645987975,10.819081897234879,9.072157291274797,18.095801298953671,11.651022442353911,9.6363408044345373
298,193,72,127,129,90,85,256,nan,8.7463246561390253,0.89788648408320237,10.246831440307497,7.5037241914780957,6.2521500282930083,12.614874194055609,7.9483832030129653,6.7604817439409501,9.9023049842647488,9.8887566906478437,8.3371407772225545,18.843460268512686,11.451891009115197,9.4396231135336137
277,196,74,135,132,101,82,254,nan,8.7708119114672929,0.3254766878808229,11.936580577310808,6.7418943449338853,5.6787232903560989,13.756833147723304,6.9760737903175922,5.9693579682901703,11.261221817972775,9.2514328267397126,7.8510034642988007,19.180319581842713,11.385040926278281,9.3701848162948345
260,202,76,134,133,106,88,296,nan,8.8080606998121969,0.21986774692890157,13.659627460518452,6.0440536326743297,5.1441312126390324,15.188149314765804,5.9880704059175489,5.1608276414078356,12.337477155030413,8.6068656694569263,7.3432078305875343,19.515632362839309,11.35384183199584,9.327211472778858
264,180,70,147,137,83,84,290,nan,8.9178346612087349,0.78836297079037942,15.4363340805526,5.3975277698461577,4.641247702027897,17.083473430267244,5.0654886321285053,4.4062056605799951,13.474157515336969,7.915581507109418,6.7917162233275725,19.872707016995736,11.43824684442162,9.3672439043286033
251,165,67,134,97,97,89,339,nan,9.1212326216389279,1.2178849077901828,17.279484107937524,4.7480155939819939,4.123866069652399,18.937351500302523,4.4907351779381139,3.9464729056556354,14.525709585628617,7.4538819454873861,6.432079939365261,20.258646281743101,11.655753469927683,9.4955976296754958
249,155,61,127,98,91,81,318,nan,9.3949604446345472,1.3511360303234521,18.976343880455779,4.2578006370741202,3.7332463018847259,20.781687216989852,4.0204397803920378,3.5702435278617517,15.499772904156119,7.153684202095052,6.2068251510823238,20.67107572833071,12.001367139541969,9.7096284838720379
236,159,66,118,92,81,80,316,nan,10.076924141938553,1.8613404126620279,22.539831478665754,3.6894529472233617,3.301481972930663,24.447094624944363,3.5035005254793576,3.1760250001140395,17.138529680803018,6.8158458911839404,5.9693083171554466,21.535029664213795,12.949302155204352,10.311131687973203
240,139,58,123,110,78,106,372,nan,10.280740445945378,2.3194938224467587,24.335704704818255,3.4653664014016408,3.1320274308585767,26.007571086727712,3.3413227148260027,3.0551372448132357,18.27892863730845,6.6763817135155259,5.8835511664706068,21.778603708267948,13.424649982211994,10.597562547775063
228,135,60,116,104,84,107,381,nan,10.501793718444079,2.6668160086118076,26.0194255170384,3.4146824538386191,3.1172216935643173,27.667423910738822,3.1621992993398922,2.9163522401695179,19.111701424190485,6.6361407043860767,5.8758544170073526,22.049764313047319,13.825972182533178,10.834835454450857
233,152,70,120,96,66,112,410,nan,10.724556404662939,2.9930816253110559,27.564429992467154,3.3614435909843583,3.0949570788186307,29.102840228959145,3.1738297553101118,2.9508426052849099,19.858560310427819,6.636540634711559,5.9009242096831862,22.333626134365758,14.198355334982583,11.051021869629373
207,173,78,118,97,65,112,417,nan,10.878285543826779,3.396736080666984,28.866692861720555,3.2976189193144947,3.0573763548522437,30.181951078648513,3.115290292896729,2.9125786917473859,20.415816348432301,6.7237936456027585,5.9978843539396003,22.641171264837499,14.519594380346636,11.227349689750573
228,179,82,141,121,74,117,446,nan,10.982801065923713,3.7855569469594603,29.770917471867886,3.2834963968021871,3.0593253739524378,31.025026904038683,2.9959283761565731,2.8123130977711983,20.698141397695316,6.8429249680957636,6.1145421252504377,22.950420451492825,14.764760074697234,11.348683553364358
267,235,116,160,110,78,103,404,nan,11.171466115498545,4.1720936688734538,30.273947094867463,3.3261197239914266,3.1081726372421437,31.457527668871339,2.9284720085802936,2.7551360372328775,20.747135189698163,6.9018894684679299,6.1692042735673569,23.297437219201043,15.04294156327645,11.489067175382386
269,243,122,166,137,91,142,448,nan,11.896450615343142,5.0273789517055123,31.171030138880472,3.2051789799399639,3.008018706319799,31.874534329265298,2.8966787290699187,2.7318961532143371,20.163591482981715,7.983594540369074,7.1095553684008577,24.032286129656796,15.624838617837224,11.792057058663762
